# CÂU VIẾT NGUYÊN VĂN — LLM soạn tay 2026-09-16, cho những ý định KHÔNG nở được từ nhãn registry
# (nhạc · dẫn đường · hồ sơ · bố cục · câu KHÔNG phải lệnh) và cho ĐÚNG những câu tester báo sai ở bản 1.66.
# Cột: id | intent_kind | region | style | text
#
# ═══ CÂU TESTER BÁO SAI (1.66, 2026-09-16) — phải có mặt NGUYÊN VĂN trong corpus ═══════════════
pm25_clean_now	control_button	chung	ngan	lọc ngay
ac_auto	control_toggle	chung	ngan	điều hoà
pm25	control_toggle	chung	ngan	lọc bụi
open_app	app	chung	tieng_anh_viet	Google Map
open_app	app	chung	tieng_anh_viet	Google
readl	control_toggle	chung	ngan	đèn đọc
open_app	app	chung	tieng_anh_viet	YouTube
pm25_clean_now	control_button	chung	than_mat	lọc ngay đi
ac_auto	control_toggle	chung	ngan	bật điều hoà
pm25	control_toggle	chung	ngan	bật lọc bụi
# ═══ NHẠC ══════════════════════════════════════════════════════════════════════════════════════
media_play	media	chung	ngan	phát nhạc
media_play	media	chung	ngan	nghe nhạc
media_play	media	chung	than_mat	mở nhạc đi
media_play	media	chung	than_mat	bật nhạc lên
media_play	media	nam	than_mat	mở nhạc giùm
media_play	media	nam	than_mat	cho nghe nhạc dùm cái
media_play	media	bac	lich_su	làm ơn bật nhạc
media_play	media	chung	than_mat	ê Kachi phát nhạc
media_play	media	chung	dai	cho tôi nghe nhạc nhé
media_play	media	chung	dai	phát một bài gì đó đi
media_play	media	chung	tieng_anh_viet	play nhạc
media_play	media	trung	than_mat	mở nhạc hí
media_play	media	chung	ngan	phát bài hát
media_play	media	chung	tieng_anh_viet	phát nhạc trên Spotify
media_pause	media	chung	ngan	dừng nhạc
media_pause	media	chung	ngan	tạm dừng
media_pause	media	chung	than_mat	tắt nhạc đi
media_pause	media	chung	than_mat	dừng lại
media_pause	media	nam	than_mat	ngưng nhạc giùm
media_pause	media	nam	than_mat	tắt nhạc dùm cái
media_pause	media	bac	lich_su	làm ơn dừng nhạc
media_pause	media	chung	than_mat	ê Kachi dừng nhạc
media_pause	media	chung	dai	dừng bài này giúp mình
media_pause	media	chung	tieng_anh_viet	pause nhạc
media_pause	media	trung	than_mat	dừng nhạc hí
media_pause	media	chung	ngan	dừng bài hát
media_next	media	chung	ngan	bài tiếp theo
media_next	media	chung	ngan	bài tiếp
media_next	media	chung	ngan	chuyển bài
media_next	media	chung	than_mat	qua bài khác đi
media_next	media	nam	than_mat	bài kế tiếp giùm
media_next	media	nam	than_mat	chuyển bài dùm cái
media_next	media	bac	lich_su	làm ơn chuyển bài
media_next	media	chung	than_mat	ê Kachi bài tiếp theo
media_next	media	chung	dai	cho tôi nghe bài tiếp theo nhé
media_next	media	chung	tieng_anh_viet	next bài
media_next	media	trung	than_mat	qua bài khác hí
media_next	media	chung	ngan	bài kế tiếp
media_prev	media	chung	ngan	bài trước
media_prev	media	chung	ngan	quay lại bài
media_prev	media	chung	than_mat	về bài lúc nãy
media_prev	media	nam	than_mat	bài hồi nãy giùm
media_prev	media	nam	than_mat	lùi lại bài dùm cái
media_prev	media	bac	lich_su	làm ơn quay lại bài trước
media_prev	media	chung	than_mat	ê Kachi bài trước
media_prev	media	chung	dai	cho tôi nghe lại bài vừa rồi
media_prev	media	chung	tieng_anh_viet	previous track
media_prev	media	trung	than_mat	lùi bài hí
media_prev	media	chung	ngan	bài lúc nãy
media_prev	media	chung	ngan	quay lại bài trước
media_query	media	chung	ngan	đang phát bài gì
media_query	media	chung	ngan	bài gì đang phát
media_query	media	chung	than_mat	bài này tên gì
media_query	media	nam	than_mat	đang nghe bài gì vậy
media_query	media	nam	than_mat	bài chi đây
media_query	media	bac	lich_su	cho hỏi đang phát bài gì
media_query	media	chung	than_mat	ê Kachi bài này tên gì
media_query	media	chung	dai	cho tôi biết tên bài đang phát
media_query	media	chung	ngan	tên bài hát
media_query	media	trung	than_mat	bài ni tên chi
